source_csv,n_rows,columns,pvalue_column,raw_pvalue_triggers,formal_matched_step_triggers,block_diagnostic_triggers,unclassified_rows,source_formal_trigger_mismatches
acf_results/combined/acf_all_stages.csv,1476,arch;optimizer;seed;lag;acf_mag;cos_sim;source_csv,,0,0,0,0,0
acf_results/stage1_mlp2/acf_summary.csv,492,arch;optimizer;seed;lag;acf_mag;cos_sim;source_csv,,0,0,0,0,0
acf_results/stage1_mlp2/acf_summary_stats.csv,165,arch;optimizer;lag;acf_mag;acf_mag.1;cos_sim;cos_sim.1;source_csv,,0,0,0,0,0
acf_results/stage1_mlp2/acf_window_summary.csv,12,arch;optimizer;seed;C1_10;C11_20;C1_20;source_csv,,0,0,0,0,0
acf_results/stage2_smallcnn/acf_summary.csv,492,arch;optimizer;seed;lag;acf_mag;cos_sim;source_csv,,0,0,0,0,0
acf_results/stage2_smallcnn/acf_summary_stats.csv,165,arch;optimizer;lag;acf_mag;acf_mag.1;cos_sim;cos_sim.1;source_csv,,0,0,0,0,0
acf_results/stage2_smallcnn/acf_window_summary.csv,12,arch;optimizer;seed;C1_10;C11_20;C1_20;source_csv,,0,0,0,0,0
acf_results/stage3_resnet18/acf_summary.csv,492,arch;optimizer;seed;lag;acf_mag;cos_sim;source_csv,,0,0,0,0,0
acf_results/stage3_resnet18/acf_summary_stats.csv,165,arch;optimizer;lag;acf_mag;acf_mag.1;cos_sim;cos_sim.1;source_csv,,0,0,0,0,0
acf_results/stage3_resnet18/acf_window_summary.csv,12,arch;optimizer;seed;C1_10;C11_20;C1_20;source_csv,,0,0,0,0,0
