source_csv,n_rows,columns,has_pperm,has_block_column,raw_pperm_triggers,formal_b1_or_nonblock_triggers,block_diagnostic_triggers,source_formal_trigger_mismatches,n_unique_k,n_unique_seed,n_unique_pct,n_unique_n_nulls,n_unique_block_size
results/circle_noise_robustness/analysis_summary.csv,2,dataset;kendall_tau_formal_freq;tau_formal_freq_p;kendall_tau_TSR;tau_TSR_p;flip_rate;mean_zrob;mean_TSR;max_TSR;min_pperm;n_formal_positive;n_total;formal_fire_rate;source_csv,False,False,0,0,0,0,,,,,
results/circle_noise_robustness/per_k_summary.csv,14,dataset;k;fire_rate;mean_Lobs;mean_TSR;mean_zrob;min_pperm;max_pperm;source_csv,False,False,0,0,0,0,7.0,,,,
results/circle_noise_robustness/raw_results.csv,56,dataset;radius;k;k_used;seed;N;SUBSAMPLE;N_NULLS;NOISE;GEODESIC_MAX_K;GEODESIC_PCT;ALPHA;DELTA_MIN;LOBS_MULT;Lobs;null_med;null_max;TSR;pperm;pct;zrob;delta;zero_frac;null_collapsed;zrob_collapsed;fallback;separation_flag;formal_trigger;nominal_trigger;source_csv,True,False,54,54,0,0,7.0,4.0,6.0,1.0,
results/curvature_sweep/curvature_sweep_results.csv,8,lambda_val;geo_Lobs;geo_null_med;geo_null_max;geo_TSR;geo_pperm;geo_zrob;geo_delta;geo_zero_frac;geo_fallback;geo_separation_flag;geo_formal_trigger;geo_nominal_trigger;proj_Lobs;proj_null_med;proj_null_max;proj_TSR;proj_pperm;proj_zrob;proj_delta;proj_zero_frac;proj_fallback;proj_separation_flag;proj_formal_trigger;proj_nominal_trigger;N_SAMPLES;SUBSAMPLE;N_NULLS;TOTAL_PROJECTIONS;GEODESIC_K;GEODESIC_MAX_K;GEODESIC_PCT;ALPHA;DELTA_MIN;LOBS_MULT;source_csv,False,False,0,0,0,0,,,,1.0,
results/curvature_sweep/curvature_sweep_summary.csv,1,spearman_proj_TSR_vs_lambda;spearman_p;any_geo_formal_trigger;max_geo_TSR;N_SAMPLES;SUBSAMPLE;N_NULLS;TOTAL_PROJECTIONS;GEODESIC_K;GEODESIC_MAX_K;GEODESIC_PCT;ALPHA;source_csv,False,False,0,0,0,0,,,,1.0,
results/forced_recurrence_positive_control/forced_recurrence_results.csv,1,experiment;RNG_SEED;D_IN;D_OUT;NUM_STEPS;NUM_CYCLES;LR;MOMENTUM;BATCH_SIZE;TARGET_RADIUS;DRIFT_SCALE;TARGET_NOISE;SUBSAMPLE;N_NULLS;GEODESIC_K;GEODESIC_MAX_K;GEODESIC_PCT;ALPHA;DELTA_MIN;LOBS_MULT;k_obs;null_k_min;null_k_median;null_k_max;Lobs;null_med;null_max;TSR;pperm;pct;zrob;delta;zero_frac;null_collapsed;zrob_collapsed;fallback;separation_flag;formal_trigger;nominal_trigger;source_csv,True,False,1,1,0,0,,,1.0,1.0,
results/four_archetype_validation/results_corrected.csv,4,scenario;decision;RNG_SEED;N_SAMPLES;SUBSAMPLE;N_NULLS;TOTAL_PROJECTIONS;GEODESIC_K;GEODESIC_MAX_K;GEODESIC_PCT;ALPHA;DELTA_MIN;LOBS_MULT;amb_euc_Lobs;amb_euc_null_med;amb_euc_null_max;amb_euc_TSR;amb_euc_pperm;amb_euc_pct;amb_euc_zrob;amb_euc_delta;amb_euc_zero_frac;amb_euc_null_collapsed;amb_euc_zrob_collapsed;amb_euc_fallback;amb_euc_separation_flag;amb_euc_formal_trigger;amb_euc_nominal_trigger;amb_geo_Lobs;amb_geo_null_med;amb_geo_null_max;amb_geo_TSR;amb_geo_pperm;amb_geo_pct;amb_geo_zrob;amb_geo_delta;amb_geo_zero_frac;amb_geo_null_collapsed;amb_geo_zrob_collapsed;amb_geo_fallback;amb_geo_separation_flag;amb_geo_formal_trigger;amb_geo_nominal_trigger;proj_Lobs;proj_null_med;proj_null_max;proj_TSR;proj_pperm;proj_pct;proj_zrob;proj_delta;proj_zero_frac;proj_null_collapsed;proj_zrob_collapsed;proj_fallback;proj_separation_flag;proj_formal_trigger;proj_nominal_trigger;source_csv,False,False,0,0,0,0,,,,1.0,
results/k_sensitivity_transition/analysis_summary.csv,4,dataset;type;kendall_tau_TSR;tau_TSR_p;n_formal_positive;n_total;formal_fire_rate;mean_TSR;max_TSR;min_pperm;source_csv,False,False,0,0,0,0,,,,,
results/k_sensitivity_transition/raw_results.csv,168,dataset;type;k;N_SAMPLES;SUBSAMPLE;N_NULLS;GEODESIC_MAX_K;GEODESIC_PCT;ALPHA;DELTA_MIN;LOBS_MULT;Lobs;null_med;null_max;TSR;pperm;pct;zrob;delta;zero_frac;null_collapsed;zrob_collapsed;fallback;separation_flag;formal_trigger;nominal_trigger;k_init;k_used;seed;source_csv,True,False,84,84,0,0,7.0,6.0,5.0,1.0,
results/k_sensitivity_transition/transition_summary.csv,24,dataset;type;seed;n_adjacent_transitions;n_flips;flip_rate;k_sequence;decision_sequence;source_csv,False,False,0,0,0,0,,6.0,,,
